,data,target
15,"Цена нефти днём перешла к росту более чем на 1% на волатильном рынке

Мировые цены на нефть в четверг днём растут примерно на 1% на ряде факторов со стороны предложения и спроса, при этом котировки способны быстро меняться вследствие недостатка ликвидности на рынке, свидетельствуют данные торгов и комментарии экспертов.

По состоянию на 14.22 мск цена октябрьских фьючерсов на нефть марки Brent растет на 1,21%, до 94,78 доллара за баррель, сентябрьских фьючерсов на WTI - на 0,91%, до 88,91 доллара.",1
16,"Турецкая лира дешевеет после решения центробанка снизить ставку: доллар дороже 18 лир

Курс турецкой лиры ускорил снижение к доллару после решения центробанка Турции снизить ключевую ставку до 13% годовых: доллар поднялся выше 18 лир, свидетельствуют данные торгов.

По состоянию на 14.32 мск доллар дорожал до 18,07 лиры с уровня предыдущего закрытия в 17,95 лиры за доллар. До оглашения решения регулятора доллар стоил примерно 17,96 лиры.",0
17,"Фьючерсы на фондовые индексы США слабо растут после выхода протокола ФРС

Фьючерсы на основные американские фондовые индексы в четверг незначительно растут, рынки оценивают данные протокола Федеральной резервной системы (ФРС) США, следует из данных торгов.

По состоянию на 14.14 мск фьючерс на промышленный индекс Dow Jones (DJIA) рос на 0,07%, до 33 986 пунктов, фьючерс на индекс высокотехнологичных компаний NASDAQ - на 0,02%, до 13 496,5 пункта, на индекс широкого рынка S&P 500 - на 0,07%, до 4 279,75 пункта.",1
18,"В России предложили арестовывать ""экономических"" фигурантов только с разрешения прокурора

Минюст России предлагает обязать следователей согласовывать с прокуратурой ходатайства об аресте бизнесменов по экономическим преступлениям, сообщается на сайте ведомства.

""Поправки предусматривают необходимость получения следователем согласия прокурора на возбуждение перед судом ходатайства об избрании меры пресечения в виде заключения под стражу в отношении лиц, подозреваемых, обвиняемых в совершении преступлений в сфере предпринимательской и иной экономической деятельности"", - говорится в сообщении.",0
19,"Ставка RUONIA 17 августа понизилась на 0,08 п.п. - до 7,86%

Индикативная рублевая депозитная ставка овернайт российского межбанковского рынка RUONIA (Ruble OverNight Index Average) в среду, 17 августа, снизилась на 0,08 процентного пункта и составила 7,86%, следует из сообщения на сайте Банка России.

В расчете ставки учитывались сделки общим объемом 91,5 миллиарда рублей.",0
20,"Центральный банк Турции в четверг принял решение снизить учетную ставку с 14 до 13 процентов, следует из заявления регулятора.

""Комитет монетарной политики решил снизить ставку на аукционах недельного репо на уровне с 14 до 13%"", - говорится в заявлении по итогам заседания регулятора.",0
21,"Евро дешевеет к доллару после выхода макростатистики

Курс евро к доллару опускается после публикации данных по инфляции в еврозоне, рынки продолжают оценивать данные протокола Федеральной резервной системы (ФРС) США, свидетельствуют данные торгов.

По состоянию на 13.49 мск курс евро к доллару снижался до 1,0166 доллара с уровня прошлого закрытия в 1,018 доллара, курс доллара к иене рос до 135,25 иены с уровня предыдущего закрытия в 135,01 иены. А индекс доллара (курс к корзине валют шести стран - торговых партнеров США) поднимался на 0,13%, до 106,72 пункта.",1
22,⚡ ЦЕНТРОБАНК ТУРЦИИ СНИЗИЛ ПРОЦЕНТНУЮ СТАВКУ С 14 ДО 13% - ЗАЯВЛЕНИЕ,0
23,"Глава Краснодара Андрей Алексеенко подал заявление о досрочном прекращении своих полномочий по собственному желанию.

«Ъ» сообщал, что в ближайшее время он может быть назначен главой «правительства Харьковской области», действующего на подконтрольной российским военным части территории этого региона Украины.

Фото: пресс-служба администрации Краснодара

@kommersant",0
24,"⚡️🇺🇸#EL #отчетность 
Estee Lauder
Full Year Net Sales Increased 9% and Diluted EPS Decreased to $6.55 from $7.79

Organic Net Sales1 Grew 8% and Adjusted Diluted EPS Increased 12% in Constant Currency

Strong Organic Sales Growth Expected in Fiscal 2023

#дивиденд declares $0.60 dividend",0
25,"Дневной объем торгов юанем на Мосбирже впервые превысил оборот по доллару

Юань набирает популярность. Пара юань/рубль по объему дневных торгов впервые обогнала пару доллар/рубль

Подробнее на РБК:
https://quote.rbc.ru/news/article/62fe11589a7947abcd07f006",1
26,"Фондовые биржи АТР закрылись в минусе вслед за США

Фондовые индексы Азиатско-Тихоокеанского региона (АТР) в четверг завершили торги снижением, следуя динамике бирж США после публикации протокола Федеральной резервной системы (ФРС), свидетельствуют данные торгов.

По итогам торгов индекс Шанхайской фондовой биржи Shanghai Composite снизился на 0,46%, до 3 277,54 пункта, Шэньчжэньской биржи Shenzhen Composite - на 0,26%, до 2 236,53 пункта, гонконгский Hang Seng Index - на 0,8%, до 19 763,91 пункта. Южнокорейский KOSPI опустился на 0,33%, до 2 508,05 пункта, австралийский S&P/ASX 200 - на 0,21%, до 7 112,8 пункта; японский Nikkei 225 уменьшился на 0,96%, до 28 942,14 пункта.",1
27,"Государство закупило первую партию зерна в 1350 тонн в интервенционный фонд - НТБ

Государство 18 августа закупило первую партию зерна в объеме 1350 тонн в государственный интервенционный фонд, следует из данных Национальной товарной биржи.

Аукционы в рамках закупок в государственный интервенционный фонд стартовали 1 августа, однако до сегодняшнего дня проходили безрезультатно. В планах Минсельхоза - сформировать до 2024 года неснижаемый запас интервенционного фонда в 3 миллиона тонн зерна и 250 тысяч тонн сахара.",1
28,"«Вкусно - и точка» возобновила работу более 500 предприятий с момента открытия сети. Оставшиеся точки будут открыты в сентябре, в будущем сеть ресторанов быстрого питания будет увеличена до тысячи в течение нескольких лет, заявили в компании.

Помимо открытия старых точек, ведется также работа над возобновлением работы всех сервисов. Компания уже заново запустила приложение «Вкусно – и точка», сохранив полученные ранее бонусы по программе лояльности, а также с 11 августа была возобновлена работа концепции кафе, заявили в компании.
#бизнес 

@vedomosti",0
29,"📂 Мечел отчитался о продажах во II квартале

Хорошие результаты: bcs-express.ru/novosti-i-analitika/mechel-otchitalsia-o-prodazhakh-vo-ii-kvartale",1
30,"«Агрессивная» стратегия: +12% за месяц

В сервисе по подписке мы в последнее время несколько поменяли тактику. Расскажем об этом на примере агрессивной стратегии. 

Что мы делали?
1️⃣ В июле-августе мы увеличивали долю акций. Появились новые, весьма интересные идеи, которые «выстреливали» на 30-50% за короткий срок.
2️⃣ В последнее время мы закрыли часть прибыльных позиций, зафиксировали хороший доход.
3️⃣ Результат: по состоянию на закрытие вторника абсолютная доходность стратегии составила +12% за месяц.

Что предпринимаем дальше?
▪️Увеличили долю защитных активов (SOXS, TZA, VXX). Да, они несколько «тормозят» портфель в период роста рынка, но зато отлично помогают доходности не падать сильно во время коррекции.
▪️Увеличили позиции в акциях канадских «экологов». Не исключаем, что данные бумаги могут расти против рынка на среднесрочном горизонте.

Кстати говоря, в сервисе по подписке совсем скоро мы опубликуем подробный аналитический обзор по сектору «экологов». Пора освежить по нему информацию! Присоединяйтесь.

#акции #экологи

@bitkogan",0
31,"↩️Начинается массовый переток дизеля из 🌏Азии в 🇪🇺ЕС. В августе будет поставлено 187,9 тысяч б/с (баррелей в сутки). Разница между ценами на дизель в 🇪🇺ЕС и 🌏Азии растёт  и достигнет пика в конце 2022 года после отказа от нефти. 

🗓В сентября поставки превысят 200 тысяч б/с. Более 60% поставок из подсанкционной нефти.",0
32,"МНЕНИЕ: Cian- лидер среди площадок объявлений о недвижимости - Синара

Читать далее
👉 https://smartlab.news/i/61673

#CIAN",1
33,"Основной владелец Qiwi зарезервировал $20 млн для выкупа акций в рамках тендерного предложения

Читать далее
👉 https://smartlab.news/i/61672

#qiwi",1
34,"""Трансконтейнер"" разместит биржевые облигации на сумму до ₽10 млрд

Читать далее
👉 https://smartlab.news/i/61671",0
35,"Совет директоров ""Трансконтейнера"" одобрил выпуск бондов на сумму до 10 млрд руб

Совет директоров ведущего российского железнодорожного контейнерного оператора ""Трансконтейнер"" (входит в группу ""Дело"") одобрил выпуск биржевых облигаций на сумму до 10 миллиардов рублей, ценные бумаги в рамках программы могут размещаться на срок до пяти лет, говорится в сообщении компании.

""Одобрить привлечение обществом заемного капитала посредством размещения биржевых облигаций в рамках программы биржевых облигаций серии П01-БО на сумму до 10 000 000 000 рублей со сроком погашения в 1820-й день с даты начала размещения выпуска биржевых облигаций"", - отмечается в сообщении.",0
36,"Продажи климатической техники заметно выросли в Москве в последние дни - ритейлер

Продажи увлажнителей воздуха выросли в Москве за последние 10 дней на 58%, мобильных кондиционеров - на 36% на фоне жаркой погоды и смога, сообщили РИА Новости в пресс-службе ""Ситилинка"".

""За последние полторы недели мы наблюдаем увеличение спроса в Москве на климатическую технику. Так, продажи увлажнителей воздуха в штуках выросли на 58% с 8 по 17 августа по отношению к периоду с 28 июля по 6 августа. Продажи мобильных кондиционеров в указанный период выросли на 36%, а воздухоочистителей на 14%"", - говорится в сообщении.",0
37,"Прибыль DP World в I полугодии выросла в 1,5 раза - до рекордных $721 млн

Прибыль, приходящаяся на одного из крупнейших мировых портовых операторов, DP World (контролируется правительством эмирата Дубай) в первом полугодии выросла в 1,5 раза в годовом выражении и составила рекордные 721 миллион долларов, говорится в сообщении компании.

""Мы рады сообщить о рекордных результатах первого полугодия: скорректированная EBITDA выросла на 34,6%, а приходящаяся на компанию прибыль - на 51,8%. Такой значительный рост демонстрирует, что наша стратегия, направленная на фокусирование на высокомаржинальных грузах и предоставление индивидуальных решений в области цепочки поставок, обеспечит устойчивую прибыль в долгосрочной перспективе"", - говорится в сообщении.",0
38,"🇹🇷#турция #недвижимость 
Турция - рост цен на жилье (% г/г) - на фоне гиперинфляции, девальвации лиры и дополнительного спроса со стороны россиян",0
39,"Инфляция в еврозоне с июля 2021 года выросла более чем втрое, установив рекорд в 8,9%. Евростат поясняет, что главной причиной высокой инфляции является повышение цен на энергоносители. 

Наибольшие темпы годовой инфляции зафиксированы в Эстонии (23,2%), Латвии (21,3%) и Литве (20,9%), наименьшие – во Франции и Мальте (6,8%), а также в Финляндии (8%).
#экономика 

@vedomosti",1
40,"Минсельхоз РФ предлагает выделить ещё 10 млрд на субсидии на рынке зерна

Минсельхоз РФ вышел с предложением о выделении в этом году ещё 10 миллиардов рублей на субсидии на возмещение части затрат компаний на выращивание и реализацию зерновых культур, следует из сообщения ведомства.

Регистрация и работа в федеральной государственной информационной системе прослеживаемости зерна и продуктов его переработки станет обязательным условием для получения субсидий на возмещение части затрат на производство и реализацию зерновых культур с 1 сентября - проект постановления правительства, которым будут внесены соответствующие изменения, подготовлен Минсельхозом и сейчас проходит общественное обсуждение.",1
41,"🇨🇳 Еще одно важное событие на валютном рынке — пара юань-рубль по объему дневных торгов впервые обогнала пару доллар-рубль. По состоянию на 12:58 мск:

Объем торгов юанем — 28,8 млрд рублей
Объем торгов долларом — 28,6 млрд рублей

@selfinvestor",1
42,,0
43,"Глава МЧС Александр Куренков отправился в Рязанскую область, чтобы координировать тушение пожаров в регионе. Об этом сообщили в пресс-службе министерства. Для координации тушения пожаров сегодня в область также должны прибыть глава Рослесхоза Иван Советников и его заместитель Алексей Венглинский.

Фото: МЧС РФ

@kommersant",0
44,"Объем торгов юанем на Мосбирже в четверг впервые превысил этот показатель по доллару

Читать далее
👉 https://smartlab.news/i/61668",1
45,"Минцифры предлагает упростить правила получения льготных кредитов для IT-компаний

Минцифры РФ предлагает упростить правила получения льготных кредитов для IT-компаний, в частности отменить условие о том, что для получения кредита организация должна быть получателем налоговых льгот, и разрешить им выплачивать дивиденды из собственных средств, соответствующий проект постановления правительства опубликован на официальном портале правовых актов.

""Предлагается внести следующие изменения: отменить условие, о том, что ИТ-организация должна быть получателем налоговых льгот ... и применять пониженные страховые взносы...  отменить обязательство по индексации заработной платы сотрудников согласно нормам Трудового кодекса РФ, допустить выплату дивидендов за счет собственных средств (средства льготного кредита на данные цели направлены быть не могут)"", - говорится в пояснительной записке к проекту.",1
46,"Путин по телефону обсудил с президентом Индонезии продовольственную безопасность

Президент России Владимир Путин поговорил по телефону с президентом Индонезии Джоко Видодо, обсудили продовольственную безопасность, сообщает пресс-служба Кремля.

""Состоялся телефонный разговор президента РФ Владимира Путина с президентом Республики Индонезии Джоко Видодо... Обсуждалась проблематика глобальной продовольственной безопасности"", - говорится в сообщении.",0
47,"Мосбиржа: 

Объем торгов юанем впервые превысил показатель по доллару

источник: 1prime.ru",1
48,"Курс доллара упал ниже ₽60 впервые с 8 августа

Аналитики полагают, что укрепление рубля связано с приближением налогового периода, когда экспортеры продают валюту, чтобы делать выплаты в бюджет

Подробнее на РБК:
https://quote.rbc.ru/news/article/62dfa77c9a794743e683e4c4",1
49,"🇨🇳🇷🇺#авто #китай #россия 
Chery планирует по итогам 2022 года удвоить продажи автомобилей в России  - директор ""Чери Рус"" - ТАСС",0
50,"🇷🇺#IT #россия 
Минцифры РФ предлагает упростить правила получения льготных кредитов для IT-компаний, в частности отменить условие о том, что для получения кредита организация должна быть получателем налоговых льгот, и разрешить им выплачивать дивиденды из собственных средств - Прайм",1
51,"🇷🇺#QIWI 
Основной владелец Qiwi Сергей Солонин по состоянию на 5 августа перевел депозитарию $20 млн для оплаты акций группы, выкупаемых в рамках тендерного предложения - Интерфакс",1
52,"🇷🇺#QIWI 
Основной владелец Qiwi Сергей Солонин по состоянию на 5 августа перевел депозитарию $20 млн для оплаты акций группы, выкупаемых в рамках тендерного предложения - Интерфакс",1
53,"❗️✴️#ETH #облако #крипто #контроль #AMZN #макро
Messari: большинство из 4653 активных узлов Ethereum находятся в руках централизованных веб-провайдеров, таких как Amazon Web Services (AWS), которые могут «подвергнуть Ethereum цензуре»
———————
*Безос , при желании, может вырубить большинство приложений DeFi т.к. большинство нод Эфириума запущены на Amazon Web Services? #DeFi",0
54,"✴️#ETH #SOL #облако #крипто 
Messari: на 3 основных облачных провайдера приходится 69% из 65% узлов Ethereum, размещенных в центрах обработки данных. Из примерно 95% узлов Solana, размещенных в центрах обработки данных, 72% размещены у тех же облачных провайдеров, что и Ethereum

#AMZN",0
55,"Юань на Московской бирже впервые обгоняет доллар по объему дневных торгов

Объем торгов юанем на Московской бирже впервые превысил аналогичный показатель по доллару расчетами ""завтра"", следует из данных торговой площадки.

На 12.46 мск объем торгов юанями достиг 29,3 миллиарда рублей по сравнению с 28,8 миллиарда долларового оборота и 35,3 миллиарда - с евро.",1
56,"⚡ ПУТИН ИНФОРМИРОВАЛ ПРЕЗИДЕНТА ИНДОНЕЗИИ ОБ УСИЛИЯХ РОССИИ, ТУРЦИИ И ООН ПО СТАБИЛИЗАЦИИ СИТУАЦИИ НА МИРОВЫХ РЫНКАХ ЗЕРНА И УДОБРЕНИЙ - КРЕМЛЬ",0
57,"Оператор проекта “Сахалин-2” попросил клиентов платить за СПГ через Газпромбанк

источник: bloomberg.com",1
58,"🛢Нефть восстанавливает позиции. Рост за день +2,16%",1
59,"🇷🇺#russia #today 
Синоптики прогнозируют сложную ситуацию на юге и юго-востоке столицы — там ожидается самая высокая концентрация дыма от пожаров в Рязанской области",0
60,"🇨🇦#canada #today 
В Канаде раскупили всю многоразовую туалетную бумагу — РИА",0
61,"🇨🇳#китай #экономика #финпотоки 
Иностранные инвестиции в экономику Китая в январе - июле выросли на 21,5% - Минторг КНР - ТАСС",1
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,"Синоптики прогнозируют сложную ситуацию на юге и юго-востоке столицы — там ожидается самая высокая концентрация дыма от пожаров в Рязанской области, заявил специалист центра погоды «Фобос» Евгений Тишковец. Ночью ситуация ухудшится, поскольку ветер сойдет на нет. 

Одновременно с этим власти утверждают, что опасаться повторения ситуации 2010 года не стоит, «ситуация под контролем».

Виды утренней Москвы, накрытой смогом — в галерее «Ъ».

@kommersant",0
72,"Рубль усиливает рост: доллар уже дешевле 60 руб

Рубль днем в четверг усиливает рост: доллар опустился ниже 60 рублей, евро – ниже 61 рубля, следует из данных Московской биржи.

Курс доллара расчетами ""завтра"" на 12.40 мск падал на 85 копеек, до 59,9 рубля (минимум с 3 августа), евро - на 1 рубль, до 60,67 рубля.",1
73,"Группа ""Мечел"" в первом полугодии 2022 года увеличила добычу угля по сравнению с аналогичным периодом прошлого года на 7%, до 5,983 миллиона тонн, следует из сообщения компании.

Выпуск стали также вырос на 7%, до 1,853 миллиона тонн, чугуна - на 6%, до 1,668 миллиона тонн.",1
74,"Ряд алкогольных брендов заинтересован в параллельном импорте их товара в РФ - эксперт

Ряд крупных зарубежных алкогольных брендов заинтересован в том, чтобы их продукция осталась на российском рынке и была ввезена в страну в рамках параллельного импорта, сообщил РИА Новости руководитель информационного центра Wine Retail Александр Ставцев.

Ранее Ассоциация компаний розничной торговли (АКОРТ) направила письмо на имя вице-премьера РФ Дмитрия Григоренко с просьбой разрешить параллельный импорт ряда алкогольных брендов, в том числе Moet, Veuve Clicqout, Finlandia, Jack Daniel's, Hennessy. Заместить эти товары в ближайшее время не представляется возможным: на российском рынке нет аналогов и технологий, чтобы наладить их производство, отмечалось в письме, с которым ознакомилось агентство.",1
75,"Курс доллара на Мосбирже упал ниже 60 рублей.

источник: 1prime.ru",1
76,"📈ФосАгро растёт на 0.7%, инвесторы ждут отчёт и дивиденды.

Читать далее
👉 https://smartlab.news/i/61663

#PHOR",0
77,"МНЕНИЕ: ФосАгро: прогноз результатов за 1П22 по МСФО — рекордная прибыль, ожидаются дивиденды - Синара

Читать далее
👉 https://smartlab.news/i/61662

#PHOR",1
78,"МНЕНИЕ: НОВАТЭК – потенциал роста 22,8%! - Открытие Инвестиции

Читать далее
👉 https://smartlab.news/i/61661

#NVTK",1
79,"19 августа Владимир Путин встретится в Сочи с Президентом Казахстана Касым-Жомартом Токаевым

🔸В продолжение регулярного диалога на высшем уровне планируется обсудить вопросы дальнейшего развития российско-казахстанских отношений стратегического партнёрства и сотрудничества.

🔸Кроме того, будет затронута проблематика двустороннего взаимодействия в рамках интеграционных объединений, включая Содружество Независимых Государств, в котором Казахстан председательствует в текущем году.

#Анонс",1
80,"Bloomberg назвал 5 пострадавших от энергетического кризиса отраслей

Сильнее всего от энергетического кризиса пострадали металлурги, а также производители удобрений и сахара

Подробнее на РБК:
https://quote.rbc.ru/news/article/62fdea289a79479806134d7f",1
81,"МЧС направило два самолета и три вертолета для тушения пожаров в Рязанской области. Всего в тушении природных возгораний в регионе задействовали 175 единиц техники и 470 человек. 

Ранее в Рослесхозе заявили, что органы лесного хозяйства Рязанской области скрывали реальные масштабы лесных пожаров. Из-за этого не удалось вовремя привлечь дополнительные силы и средства для тушения огня.
#общество 

@vedomosti",0
82,"Путин и Зеленский могут провести встречу для определения ""дорожной карты"" по Украине.

источник: kommersant.ru",0
83,"⚡️Курс доллара упал ниже 60 руб. впервые с 8 августа. Евро снижается на 1,4%, до 60,8 руб. 

@selfinvestor",1
84,⚡ КУРС ДОЛЛАРА НА МОСБИРЖЕ УПАЛ НИЖЕ 60 РУБ ВПЕРВЫЕ С 8 АВГУСТА - ДАННЫЕ ТОРГОВ,1
